User_ID,State,City_Tier,Age,Gender,Occupation,Income_INR,Total_Screen_Time,Social_Media_Hours,App_Usage_Category,Notification_Interaction_Rate,Sleep_Hours,Stress_Level,Physical_Activity_Level,Work_Life_Balance_Score
UID00028,Gujarat,Tier 1,28,Male,Tech,553000,4.0,1.8,News,5.5,7.5,4,High,9
UID00029,Uttar Pradesh,Tier 1,30,Male,Tech,481000,4.8,1.3,Gaming,6.5,6.2,6,Low,9
UID00030,West Bengal,Tier 1,19,Female,Student,16000,4.8,3.7,Social,32.4,7.5,6,High,9
UID00031,Tamil Nadu,Tier 3,24,Female,Corporate,190000,8.5,2.0,Productivity,21.0,4.4,10,Low,2
UID00032,West Bengal,Tier 2,19,Female,Unemployed,12000,6.1,4.0,Social,49.1,7.6,4,High,10
UID00033,Delhi,Tier 1,23,Male,Student,19000,8.5,4.3,Social,66.9,7.6,7,Medium,9
UID00034,Delhi,Tier 3,43,Female,Corporate,773000,4.0,0.6,Productivity,14.4,8.0,3,High,10
UID00035,Uttar Pradesh,Tier 3,44,Female,Healthcare,420000,5.3,0.7,Productivity,22.9,7.2,2,High,10
UID00036,Karnataka,Tier 2,33,Male,Freelancer,261000,6.2,2.3,Gaming,39.1,5.7,8,Low,5
UID00037,Tamil Nadu,Tier 1,20,Female,Student,19000,6.3,4.6,Social,32.4,7.1,5,Medium,9
UID00038,Kerala,Tier 2,19,Female,Student,10000,6.7,3.8,Gaming,30.6,8.2,5,High,10
UID00039,Tamil Nadu,Tier 1,33,Female,Tech,836000,5.2,2.0,Social,28.7,7.0,5,Medium,9
UID00040,Maharashtra,Tier 1,23,Male,Student,51000,6.8,4.3,Gaming,40.9,7.8,5,High,10
UID00041,Maharashtra,Tier 1,24,Male,Tech,300000,12.2,6.2,Social,71.2,5.6,9,Low,7
UID00042,West Bengal,Tier 3,41,Male,Corporate,581000,6.1,1.4,Productivity,37.9,5.9,8,Low,4
UID00043,Karnataka,Tier 1,22,Female,Student,11000,6.7,4.7,Social,45.0,6.9,5,Medium,10
UID00044,Uttar Pradesh,Tier 2,58,Female,Freelancer,429000,4.3,1.1,Productivity,28.5,9.4,1,High,10
UID00045,Telangana,Tier 1,18,Male,Student,6000,13.7,10.1,Social,61.5,4.4,10,Low,6
UID00046,Kerala,Tier 1,35,Female,Corporate,1055000,9.0,3.2,Productivity,41.0,7.6,5,Medium,8
UID00047,Telangana,Tier 3,28,Male,Freelancer,116000,6.1,3.4,Social,33.3,7.5,6,Medium,10
UID00048,Maharashtra,Tier 1,39,Male,Corporate,1088000,5.8,1.3,Productivity,43.3,6.7,5,Medium,8
UID00049,Karnataka,Tier 3,30,Male,Corporate,18000,6.2,2.4,Social,24.1,4.8,8,Low,4
UID00050,Telangana,Tier 1,25,Female,Tech,362000,9.0,5.8,News,60.3,6.6,8,Low,8
UID00051,Rajasthan,Tier 1,49,Female,Healthcare,1093000,3.5,0.5,News,15.6,8.0,3,High,10
UID00052,Kerala,Tier 3,34,Male,Healthcare,296000,4.0,1.1,Social,18.0,7.2,5,Medium,10
UID00053,Delhi,Tier 3,58,Female,Freelancer,589000,1.2,0.3,Productivity,0.6,10.0,1,High,10
UID00054,West Bengal,Tier 3,58,Female,Corporate,790000,3.5,0.7,News,19.1,9.3,2,High,10
UID00055,Maharashtra,Tier 3,34,Female,Tech,470000,4.9,2.2,Productivity,23.8,7.1,6,Medium,7
UID00056,Uttar Pradesh,Tier 3,54,Male,Unemployed,23000,5.9,1.6,News,36.9,7.4,4,High,9
UID00057,Karnataka,Tier 3,18,Male,Tech,144000,12.5,7.1,Social,65.0,6.7,8,Medium,7
UID00058,Kerala,Tier 1,18,Male,Student,103000,13.5,10.1,Social,76.9,4.6,10,Low,5
UID00059,Maharashtra,Tier 3,22,Male,Unemployed,9000,9.2,5.2,Social,49.9,6.8,7,Medium,8
UID00060,Uttar Pradesh,Tier 2,23,Female,Student,7000,6.6,3.8,Social,40.0,7.8,5,High,10
UID00061,Rajasthan,Tier 2,19,Male,Student,3000,13.9,10.2,Gaming,74.2,4.5,10,Low,4
UID00062,Uttar Pradesh,Tier 1,22,Male,Tech,386000,5.4,3.2,Social,34.6,6.9,5,Medium,9
UID00063,Uttar Pradesh,Tier 2,26,Male,Tech,412000,6.8,1.6,Productivity,22.1,7.0,6,Medium,7
UID00064,Telangana,Tier 2,24,Female,Student,11000,4.6,2.7,Gaming,27.6,8.0,4,High,10
UID00065,Telangana,Tier 3,24,Female,Student,4000,2.3,1.2,Social,33.3,9.5,4,High,10
UID00066,Delhi,Tier 2,33,Male,Corporate,350000,14.2,6.8,Productivity,67.2,4.1,10,Low,3
UID00067,Kerala,Tier 1,19,Male,Student,18000,9.4,5.7,Social,56.7,6.2,7,Low,8
UID00068,Uttar Pradesh,Tier 2,35,Female,Corporate,653000,5.1,1.2,Productivity,19.6,6.5,5,Medium,7
UID00069,Rajasthan,Tier 2,28,Male,Student,9000,4.3,3.2,Social,35.5,7.4,5,Medium,9
UID00070,Telangana,Tier 3,29,Female,Freelancer,365000,4.4,0.6,News,32.3,7.9,5,High,10
UID00071,Karnataka,Tier 1,32,Male,Corporate,904000,6.3,2.4,Social,17.2,5.5,6,Low,6
UID00072,Telangana,Tier 1,26,Male,Student,2000,6.9,4.1,Gaming,46.4,6.7,7,Medium,9
UID00073,Maharashtra,Tier 2,24,Female,Student,10000,5.8,3.1,Gaming,35.6,7.9,4,High,10
UID00074,Maharashtra,Tier 2,32,Female,Healthcare,377000,8.5,2.1,Social,29.4,5.7,9,Low,4
UID00075,Rajasthan,Tier 1,26,Male,Corporate,273000,5.5,2.5,Productivity,21.0,7.9,6,High,8
UID00076,Maharashtra,Tier 1,43,Female,Corporate,1658000,9.8,4.4,Productivity,38.0,6.3,9,Low,6
UID00077,Maharashtra,Tier 2,27,Male,Tech,302000,5.2,2.0,News,24.2,8.1,5,High,9
UID00078,Karnataka,Tier 3,19,Male,Tech,1000,5.5,2.8,Social,36.3,6.0,7,Low,7
UID00079,Maharashtra,Tier 3,25,Female,Tech,123000,6.1,4.6,Gaming,37.6,7.1,6,Medium,9
UID00080,West Bengal,Tier 3,19,Female,Freelancer,0,6.7,3.7,Gaming,34.2,6.9,6,Medium,10
UID00081,Rajasthan,Tier 3,52,Male,Healthcare,618000,4.1,0.9,Productivity,23.4,8.3,3,High,10
UID00082,Delhi,Tier 1,29,Male,Tech,470000,7.0,3.1,News,42.1,7.7,6,Medium,9
UID00083,Karnataka,Tier 2,24,Female,Student,6000,7.7,5.5,Gaming,57.6,6.6,7,Medium,9
UID00084,Delhi,Tier 2,23,Female,Tech,96000,6.8,4.7,Productivity,46.0,8.0,6,High,10
UID00085,Uttar Pradesh,Tier 3,24,Female,Student,24000,7.0,3.6,Social,38.5,6.7,7,Medium,9
UID00086,Uttar Pradesh,Tier 1,20,Male,Student,10000,8.2,5.8,News,51.1,7.8,6,High,10
UID00087,Maharashtra,Tier 2,40,Male,Tech,712000,7.2,1.5,Gaming,28.5,6.6,7,Low,8
UID00088,Karnataka,Tier 1,41,Female,Corporate,1276000,6.3,2.2,Productivity,20.0,5.6,4,Low,8
UID00089,Tamil Nadu,Tier 2,44,Male,Healthcare,845000,6.6,1.9,News,37.6,9.2,2,High,10
UID00090,Rajasthan,Tier 3,30,Female,Tech,445000,4.9,1.4,Productivity,18.4,6.9,6,Medium,8
UID00091,Telangana,Tier 3,26,Male,Student,7000,6.1,4.4,Social,33.6,7.3,5,Medium,9
UID00092,Gujarat,Tier 3,31,Male,Corporate,293000,4.1,1.7,News,23.6,7.8,5,High,9
UID00093,Uttar Pradesh,Tier 1,38,Female,Corporate,941000,5.5,1.9,Productivity,25.7,7.5,5,Medium,9
UID00094,Rajasthan,Tier 3,38,Female,Tech,320000,6.3,1.6,Productivity,31.7,5.4,9,Low,5
UID00095,Kerala,Tier 2,34,Male,Corporate,790000,6.9,2.3,Social,40.4,6.1,8,Low,6
UID00096,Rajasthan,Tier 3,35,Female,Corporate,520000,10.8,2.7,Productivity,39.7,5.1,7,Low,5
UID00097,Maharashtra,Tier 1,33,Male,Healthcare,761000,5.4,2.0,Productivity,18.4,7.4,5,Medium,7
UID00098,Tamil Nadu,Tier 2,22,Male,Student,33000,6.2,4.5,Social,39.2,6.9,5,Medium,9
UID00099,Tamil Nadu,Tier 2,19,Male,Student,6000,8.5,6.3,Social,57.4,7.4,7,Medium,9
UID00100,Uttar Pradesh,Tier 1,24,Female,Tech,569000,4.3,3.3,Social,35.0,7.8,3,High,10
UID00101,Kerala,Tier 3,23,Female,Freelancer,0,6.7,3.7,Social,35.9,5.6,9,Low,7
UID00102,Uttar Pradesh,Tier 2,18,Male,Corporate,272000,8.2,3.9,Productivity,33.0,5.7,8,Low,5
UID00103,Uttar Pradesh,Tier 1,24,Male,Student,9000,9.8,5.3,Gaming,50.9,7.6,5,High,9
UID00104,Delhi,Tier 1,37,Female,Healthcare,812000,4.1,1.1,News,33.0,7.0,5,Medium,8
UID00105,Uttar Pradesh,Tier 2,37,Male,Unemployed,7000,4.2,1.2,News,20.3,9.6,2,High,10
UID00106,Rajasthan,Tier 1,20,Male,Student,61000,7.1,4.6,Gaming,42.2,6.9,5,Medium,10
UID00107,Karnataka,Tier 2,21,Male,Student,5000,11.5,7.0,Gaming,60.2,7.2,7,Medium,9
UID00108,Karnataka,Tier 2,24,Male,Corporate,629000,8.7,3.4,Productivity,21.3,8.0,6,High,7
UID00109,Tamil Nadu,Tier 1,22,Female,Student,18000,6.0,4.1,Social,34.2,6.6,6,Medium,9
UID00110,Maharashtra,Tier 1,20,Female,Student,5000,8.1,4.6,Gaming,41.3,8.3,6,High,9
UID00111,Telangana,Tier 2,19,Male,Tech,501000,7.7,5.1,Social,64.1,7.1,6,Medium,10
UID00112,Telangana,Tier 2,18,Male,Student,2000,3.0,1.9,News,30.4,7.6,6,High,8
UID00113,Delhi,Tier 1,41,Male,Freelancer,697000,4.7,0.9,Gaming,19.6,7.4,4,High,10
UID00114,Kerala,Tier 1,25,Male,Tech,407000,6.0,2.6,Productivity,10.3,6.5,7,Medium,6
UID00115,Tamil Nadu,Tier 2,30,Female,Tech,41000,7.3,2.7,Social,35.0,5.8,9,Low,5
UID00116,Gujarat,Tier 1,42,Male,Healthcare,1012000,4.5,0.7,Productivity,21.3,8.9,2,High,10
UID00117,Rajasthan,Tier 3,28,Male,Freelancer,0,6.6,1.3,Productivity,33.9,6.4,9,Low,5
UID00118,Gujarat,Tier 3,22,Male,Tech,197000,12.9,7.2,Social,65.3,7.1,6,Medium,8
UID00119,Karnataka,Tier 2,53,Female,Healthcare,975000,4.9,1.4,Productivity,16.2,8.8,3,High,10
UID00120,Maharashtra,Tier 1,28,Female,Corporate,658000,11.1,4.3,News,35.0,3.9,10,Low,3
UID00121,Gujarat,Tier 3,44,Male,Corporate,659000,2.7,0.9,News,19.6,7.9,6,Medium,8
UID00122,Kerala,Tier 2,35,Male,Corporate,810000,3.7,0.4,Social,23.9,8.2,4,High,10
UID00123,Delhi,Tier 3,20,Male,Tech,55000,8.5,4.6,Gaming,47.0,6.4,7,Medium,8
UID00124,Karnataka,Tier 3,20,Female,Student,2000,8.0,5.4,Gaming,34.8,7.9,6,High,9
UID00125,Delhi,Tier 1,20,Male,Unemployed,2000,6.5,4.7,Social,55.3,5.9,5,Medium,8
UID00126,Gujarat,Tier 3,18,Male,Student,10000,8.6,6.6,Social,32.6,6.0,6,Medium,9
UID00127,Maharashtra,Tier 2,38,Female,Corporate,644000,7.8,1.7,Gaming,34.7,4.6,9,Low,3
UID00128,Rajasthan,Tier 2,33,Male,Freelancer,331000,6.3,1.5,Social,34.4,7.7,4,High,10
UID00129,Rajasthan,Tier 1,20,Female,Student,14000,7.7,4.6,Gaming,39.9,7.6,5,High,9
UID00130,Delhi,Tier 1,34,Male,Tech,651000,8.6,2.1,Productivity,49.4,6.5,8,Low,5
UID00131,Maharashtra,Tier 2,22,Female,Freelancer,177000,9.0,6.6,Social,41.6,6.3,6,Medium,9
UID00132,Gujarat,Tier 1,20,Male,Freelancer,70000,7.9,5.3,Social,33.3,7.4,5,High,10
UID00133,Maharashtra,Tier 2,18,Female,Student,24000,7.3,5.4,Productivity,51.5,7.4,5,High,10
UID00134,Delhi,Tier 1,24,Male,Freelancer,0,7.1,5.4,Social,44.9,7.5,6,Medium,10
UID00135,Maharashtra,Tier 3,38,Male,Freelancer,286000,3.2,0.6,Social,20.8,8.1,2,High,10
UID00136,Tamil Nadu,Tier 1,21,Male,Student,11000,5.6,4.2,Gaming,45.0,8.7,4,High,10
UID00137,Uttar Pradesh,Tier 3,38,Female,Tech,340000,3.5,1.2,Productivity,12.2,7.7,6,Medium,10
UID00138,West Bengal,Tier 3,42,Male,Tech,645000,6.1,2.9,Productivity,31.6,7.9,4,High,10
UID00139,Telangana,Tier 1,21,Male,Tech,17000,6.2,4.7,Gaming,48.6,7.5,5,High,10
UID00140,Kerala,Tier 2,51,Male,Healthcare,966000,2.2,0.3,Social,13.1,7.2,4,High,10
UID00141,Uttar Pradesh,Tier 3,34,Male,Freelancer,0,3.3,0.6,News,17.3,7.9,5,High,10
UID00142,Maharashtra,Tier 3,19,Female,Student,9000,11.9,9.2,Gaming,69.3,7.5,6,Medium,10
UID00143,Karnataka,Tier 1,26,Female,Healthcare,550000,7.9,3.5,News,19.9,6.0,7,Low,7
UID00144,Maharashtra,Tier 1,19,Female,Student,93000,5.4,4.2,Social,38.8,6.8,4,Medium,10
UID00145,Maharashtra,Tier 1,22,Male,Unemployed,4000,11.2,7.6,Social,57.8,4.6,8,Low,5
UID00146,Tamil Nadu,Tier 2,18,Male,Student,11000,3.1,1.6,Gaming,38.3,7.3,4,High,10
UID00147,Tamil Nadu,Tier 1,29,Female,Tech,610000,11.9,4.7,Productivity,46.7,5.7,8,Low,5
UID00148,Maharashtra,Tier 2,34,Female,Corporate,503000,3.4,1.1,Social,21.1,6.7,6,Medium,7
UID00149,Karnataka,Tier 2,18,Female,Student,18000,13.0,7.1,Gaming,68.5,4.2,10,Low,4
UID00150,Delhi,Tier 2,23,Male,Tech,428000,5.2,2.9,Gaming,35.6,6.5,6,Medium,10
UID00151,Uttar Pradesh,Tier 3,27,Female,Unemployed,70000,5.6,1.2,Social,27.6,8.0,4,High,10
UID00152,West Bengal,Tier 3,22,Female,Unemployed,7000,7.4,4.1,Social,51.3,9.0,5,High,10
UID00153,Maharashtra,Tier 1,19,Female,Student,7000,4.7,3.7,Gaming,31.7,7.8,6,High,10
UID00154,Uttar Pradesh,Tier 3,32,Female,Corporate,211000,3.6,1.0,News,12.1,6.8,6,Medium,9
UID00155,Maharashtra,Tier 2,40,Male,Corporate,939000,4.3,0.5,Productivity,22.3,8.2,4,High,10
UID00156,Maharashtra,Tier 3,20,Female,Tech,157000,9.9,5.5,Social,41.1,5.8,8,Low,6
UID00157,West Bengal,Tier 2,29,Male,Tech,342000,7.7,2.2,Social,25.3,5.9,7,Low,5
UID00158,Uttar Pradesh,Tier 2,38,Non-binary,Corporate,767000,2.8,1.3,News,9.2,7.0,5,Medium,8
UID00159,Gujarat,Tier 3,20,Male,Unemployed,8000,8.1,4.5,Gaming,75.3,5.9,6,Low,7
UID00160,Karnataka,Tier 1,30,Male,Tech,679000,3.3,1.0,Social,15.3,7.7,4,High,9
UID00161,Tamil Nadu,Tier 1,18,Female,Unemployed,15000,13.6,9.7,Social,81.1,6.5,8,Medium,7
UID00162,Rajasthan,Tier 1,24,Male,Corporate,452000,5.7,2.8,News,20.6,7.0,5,Medium,7
UID00163,West Bengal,Tier 3,40,Female,Tech,237000,3.7,1.5,Productivity,11.5,6.9,6,Medium,8
UID00164,Maharashtra,Tier 3,41,Male,Freelancer,495000,5.8,1.2,News,11.4,7.8,5,Medium,9
UID00165,West Bengal,Tier 3,21,Female,Student,63000,3.8,2.3,Social,34.3,7.6,3,High,10
UID00166,Delhi,Tier 3,43,Female,Corporate,456000,8.7,3.7,Gaming,52.2,6.0,9,Low,6
UID00167,Karnataka,Tier 3,20,Female,Student,13000,5.4,4.1,Social,39.0,6.9,5,Medium,9
UID00168,Gujarat,Tier 2,25,Female,Student,8000,2.3,1.3,Productivity,35.9,7.7,5,High,10
UID00169,Kerala,Tier 1,18,Male,Student,8000,4.4,3.2,Productivity,35.0,7.9,4,High,10
UID00170,Maharashtra,Tier 2,43,Male,Corporate,941000,9.7,2.6,News,32.2,5.6,8,Low,6
UID00171,Telangana,Tier 2,30,Male,Tech,481000,5.6,1.3,Productivity,28.2,6.8,10,Low,7
UID00172,Uttar Pradesh,Tier 2,29,Female,Tech,226000,4.1,2.8,Gaming,21.8,7.3,4,High,10
UID00173,Karnataka,Tier 3,29,Female,Corporate,147000,9.3,3.2,Social,38.5,5.7,9,Low,4
UID00174,West Bengal,Tier 1,18,Female,Student,15000,6.3,3.4,Gaming,46.6,7.0,7,Medium,9
UID00175,Delhi,Tier 1,20,Female,Tech,172000,8.1,2.0,Gaming,39.2,5.4,9,Low,5
UID00176,Maharashtra,Tier 2,23,Male,Tech,50000,3.7,2.2,Social,31.1,7.4,6,Medium,10
UID00177,Delhi,Tier 1,26,Female,Corporate,400000,5.1,2.0,Productivity,7.2,6.6,7,Medium,5
UID00178,Telangana,Tier 2,22,Female,Student,34000,8.1,5.2,Social,54.7,6.9,5,Medium,9
UID00179,Delhi,Tier 2,40,Male,Corporate,858000,4.3,1.0,Productivity,8.1,8.0,3,High,10
UID00180,Maharashtra,Tier 2,29,Female,Student,7000,2.9,1.8,Gaming,24.5,8.7,5,High,10
UID00181,Karnataka,Tier 1,24,Female,Student,18000,7.4,4.2,Social,53.8,8.4,4,High,10
UID00182,Rajasthan,Tier 3,23,Female,Student,18000,8.3,4.8,Gaming,56.8,6.9,6,Medium,9
UID00183,Gujarat,Tier 3,48,Female,Corporate,606000,3.9,0.5,Productivity,13.6,8.5,3,High,10
UID00184,Gujarat,Tier 3,51,Male,Corporate,700000,7.1,1.9,Social,31.1,7.7,4,High,10
UID00185,Telangana,Tier 3,25,Female,Student,21000,4.5,2.6,Social,41.3,7.9,5,High,10
UID00186,Maharashtra,Tier 3,34,Female,Healthcare,352000,8.7,4.2,News,20.6,4.8,10,Low,3
UID00187,Tamil Nadu,Tier 2,22,Female,Corporate,269000,6.8,1.4,Productivity,32.0,6.6,9,Low,6
UID00188,Karnataka,Tier 3,35,Female,Freelancer,65000,8.2,3.7,News,47.5,5.2,7,Low,4
UID00189,Maharashtra,Tier 2,34,Male,Freelancer,215000,6.2,1.9,Productivity,32.3,5.9,8,Low,5
UID00190,Uttar Pradesh,Tier 1,21,Male,Student,6000,3.6,2.8,Gaming,47.7,8.2,3,High,10
UID00191,Telangana,Tier 3,20,Female,Tech,0,10.2,7.0,Social,50.9,7.7,7,Medium,9
UID00192,Maharashtra,Tier 1,47,Male,Healthcare,1314000,6.1,1.5,News,13.3,6.3,6,Medium,9
UID00193,Uttar Pradesh,Tier 1,54,Male,Freelancer,1048000,1.9,0.4,News,14.0,9.2,1,High,10
UID00194,Uttar Pradesh,Tier 3,27,Female,Corporate,54000,8.9,4.4,Productivity,47.5,5.6,10,Low,5
UID00195,Maharashtra,Tier 1,23,Male,Student,79000,13.5,8.8,Social,70.5,5.5,9,Low,7
UID00196,Delhi,Tier 2,20,Female,Freelancer,189000,4.5,2.7,Social,34.6,8.7,3,High,10
UID00197,Telangana,Tier 3,35,Non-binary,Corporate,588000,4.7,1.1,Social,26.7,6.8,7,Medium,8
UID00198,Maharashtra,Tier 1,48,Male,Corporate,1407000,3.3,0.5,Productivity,0.0,7.7,3,High,9
UID00199,Maharashtra,Tier 3,46,Male,Unemployed,39000,2.2,0.4,Gaming,1.5,7.6,5,High,10
UID00200,Gujarat,Tier 2,35,Female,Corporate,699000,11.0,3.4,Gaming,45.2,4.6,8,Low,3
UID00201,Tamil Nadu,Tier 3,25,Female,Tech,192000,11.2,5.2,Social,36.6,5.3,10,Low,6
UID00202,Gujarat,Tier 2,21,Non-binary,Student,17000,8.5,5.5,Social,65.7,7.6,7,Medium,9
UID00203,Uttar Pradesh,Tier 2,24,Male,Tech,224000,7.9,6.2,Gaming,39.0,7.9,4,High,10
UID00204,Telangana,Tier 2,33,Male,Unemployed,17000,2.0,0.6,Productivity,1.3,8.8,3,High,10
UID00205,Delhi,Tier 3,29,Female,Tech,189000,9.8,2.8,Productivity,57.3,5.7,9,Low,5
UID00206,Tamil Nadu,Tier 1,18,Female,Student,15000,7.1,4.5,Social,56.3,7.8,6,High,10
UID00207,Maharashtra,Tier 3,22,Female,Student,41000,5.0,2.7,Social,43.3,6.4,6,Medium,9
UID00208,Uttar Pradesh,Tier 1,33,Female,Corporate,617000,6.9,3.2,Social,41.9,5.8,7,Low,6
UID00209,Telangana,Tier 3,21,Male,Unemployed,88000,5.3,2.8,Gaming,47.1,7.6,5,High,10
UID00210,Uttar Pradesh,Tier 2,21,Male,Tech,207000,8.9,4.8,Gaming,54.3,6.8,7,Medium,10
UID00211,Maharashtra,Tier 2,26,Female,Freelancer,155000,4.7,1.7,Productivity,23.6,6.9,7,Medium,7
UID00212,Tamil Nadu,Tier 3,18,Male,Tech,135000,6.4,2.5,Productivity,41.0,7.1,8,Medium,8
UID00213,Delhi,Tier 3,33,Male,Healthcare,308000,6.7,2.5,Productivity,21.5,6.9,5,Medium,9
UID00214,Tamil Nadu,Tier 2,23,Male,Student,33000,4.2,2.9,Social,39.5,8.5,5,High,10
UID00215,Tamil Nadu,Tier 2,26,Male,Corporate,303000,5.9,1.9,Productivity,16.2,6.6,7,Medium,9
UID00216,Delhi,Tier 2,18,Male,Student,21000,5.7,4.0,Productivity,35.7,8.4,4,High,10
UID00217,Delhi,Tier 1,19,Male,Tech,378000,8.7,5.1,Gaming,58.7,7.2,6,Medium,7
UID00218,Rajasthan,Tier 3,22,Male,Corporate,0,5.6,1.7,News,27.0,6.5,7,Medium,9
UID00219,Delhi,Tier 2,25,Male,Tech,307000,7.5,2.9,Gaming,26.5,5.9,9,Low,5
UID00220,Tamil Nadu,Tier 2,22,Male,Corporate,222000,7.4,1.7,Productivity,23.2,6.6,6,Medium,8
UID00221,Uttar Pradesh,Tier 3,29,Male,Tech,492000,9.2,4.1,Productivity,52.4,5.8,9,Low,5
UID00222,West Bengal,Tier 2,41,Male,Healthcare,781000,8.1,3.6,Productivity,38.9,6.4,6,Low,5
UID00223,Maharashtra,Tier 3,20,Male,Student,10000,5.8,3.4,Gaming,36.1,8.4,5,High,10
UID00224,Tamil Nadu,Tier 2,18,Male,Student,23000,7.3,4.4,Gaming,64.2,7.6,5,High,10
UID00225,Karnataka,Tier 2,25,Male,Tech,0,4.6,3.1,Social,31.4,6.5,6,Medium,8
UID00226,Tamil Nadu,Tier 1,20,Male,Student,2000,9.3,7.0,Social,48.9,6.6,4,Medium,10
UID00227,Karnataka,Tier 2,39,Female,Healthcare,404000,4.8,1.3,Social,23.5,7.6,4,High,10
UID00228,Gujarat,Tier 1,27,Male,Student,3000,7.9,6.2,Social,49.2,6.7,7,Medium,9
UID00229,Maharashtra,Tier 3,32,Female,Freelancer,170000,2.2,0.5,Gaming,6.2,7.3,5,High,10
UID00230,Karnataka,Tier 1,38,Male,Tech,1082000,4.5,1.6,News,10.0,6.4,6,Low,9
UID00231,West Bengal,Tier 2,33,Male,Tech,467000,5.5,2.6,Gaming,29.2,6.1,7,Low,6
UID00232,Uttar Pradesh,Tier 2,29,Female,Healthcare,395000,4.9,1.6,Productivity,22.5,8.0,4,High,10
UID00233,Maharashtra,Tier 3,33,Female,Corporate,178000,5.9,2.2,Productivity,24.7,5.9,7,Low,7
UID00234,Delhi,Tier 2,36,Female,Freelancer,314000,6.1,1.5,Productivity,22.3,7.1,8,Medium,7
UID00235,Kerala,Tier 3,20,Male,Student,17000,6.4,4.3,Social,51.6,7.0,4,High,10
UID00236,Maharashtra,Tier 1,38,Male,Corporate,1239000,4.3,1.6,Social,21.0,6.1,7,Low,5
UID00237,Maharashtra,Tier 1,19,Male,Unemployed,11000,2.6,1.6,News,29.5,7.9,4,High,10
UID00238,Tamil Nadu,Tier 2,24,Male,Student,11000,11.8,7.0,Gaming,68.6,5.6,10,Low,7
UID00239,Uttar Pradesh,Tier 1,27,Male,Corporate,596000,6.1,2.5,Productivity,17.1,6.8,8,Medium,7
UID00240,Karnataka,Tier 3,19,Female,Tech,0,7.7,5.6,Social,53.8,6.7,5,Medium,8
